Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
11/24/2020 10:15,11/24/2020 17:15,AUDCAD,Sell,0.01,0,0,0.95804,0.95631,17.3,151.99,00:07:00:00,0.01
11/05/20 11:45,11/05/20 15:30,AUDCAD,Sell,0.01,0,0,0.94646,0.94467,17.9,157.4,00:03:45:00,0.01
11/03/20 14:15,11/03/20 16:00,AUDCAD,Sell,0.01,0,0,0.9384,0.9369,15,131.25,00:01:45:00,0.01
10/28/2020 09:15,10/28/2020 11:30,AUDCAD,Sell,0.01,0,0,0.94287,0.94129,15.8,138.46,00:02:15:00,0.01
10/21/2020 16:15,10/23/2020 16:45,AUDCAD,Sell,0.01,0,0,0.93179,0.93526,-34.7,-316.88,02:00:30:00,-0.03
10/23/2020 12:30,10/23/2020 16:45,AUDCAD,Sell,0.02,0,0,0.93784,0.93526,25.8,457.26,00:04:15:00,0.04
10/13/2020 03:30,10/21/2020 18:15,AUDCAD,Buy,0.01,0,0,0.94255,0.9341,-84.5,-779.74,08:14:45:00,-0.07
10/15/2020 09:45,10/21/2020 18:15,AUDCAD,Buy,0.02,0,0,0.93642,0.9341,-23.2,-447.2,06:08:30:00,-0.04
10/20/2020 02:45,10/21/2020 18:15,AUDCAD,Buy,0.04,0,0,0.92999,0.9341,41.1,1459.21,01:15:30:00,0.13
09/29/2020 14:45,10/02/20 8:00,AUDCAD,Sell,0.01,0,0,0.95257,0.95049,20.8,183.55,02:17:15:00,0.02
09/23/2020 04:00,09/29/2020 02:15,AUDCAD,Buy,0.01,0,0,0.9499,0.94662,-32.8,-310.15,05:22:15:00,-0.03
09/24/2020 08:00,09/29/2020 02:15,AUDCAD,Buy,0.02,0,0,0.94389,0.94662,27.3,466.86,04:18:15:00,0.04
09/25/2020 10:30,09/25/2020 12:45,AUDCAD,Sell,0.01,0,0,0.94517,0.94347,17,149.28,00:02:15:00,0.01
09/21/2020 17:00,09/21/2020 22:15,AUDCAD,Buy,0.01,0,0,0.95879,0.96056,17.7,155.58,00:05:15:00,0.01
09/16/2020 14:30,09/16/2020 19:30,AUDCAD,Sell,0.01,0,0,0.96628,0.96441,18.7,164.61,00:05:00:00,0.01
09/15/2020 08:30,09/15/2020 18:30,AUDCAD,Sell,0.01,0,0,0.96356,0.96175,18.1,159.2,00:10:00:00,0.01
09/14/2020 18:30,09/15/2020 00:05,AUDCAD,Sell,0.01,0,0,0.96163,0.96019,14.4,125.84,00:05:35:00,0.01
09/08/20 11:30,09/08/20 12:00,AUDCAD,Sell,0.01,0,0,0.95681,0.95512,16.9,148.38,00:00:30:00,0.01
09/02/20 16:30,09/04/20 21:45,AUDCAD,Buy,0.01,0,0,0.95632,0.95254,-37.8,-348.26,02:05:15:00,-0.03
09/04/20 17:00,09/04/20 21:45,AUDCAD,Buy,0.02,0,0,0.94986,0.95254,26.8,475.22,00:04:45:00,0.04
08/28/2020 16:45,09/02/20 14:30,AUDCAD,Sell,0.01,0,0,0.96063,0.95894,16.9,148.38,04:21:45:00,0.01
08/27/2020 10:45,08/27/2020 16:45,AUDCAD,Sell,0.01,0,0,0.95378,0.95143,23.5,207.89,00:06:00:00,0.02
08/19/2020 21:15,08/24/2020 13:45,AUDCAD,Buy,0.01,0,0,0.94997,0.94626,-37.1,-347.18,04:16:30:00,-0.03
08/21/2020 19:30,08/24/2020 13:45,AUDCAD,Buy,0.02,0,0,0.94335,0.94626,29.1,506.26,02:18:15:00,0.04
08/14/2020 17:45,08/19/2020 17:30,AUDCAD,Sell,0.01,0,0,0.94962,0.95264,-30.2,-276.3,04:23:45:00,-0.02
08/19/2020 12:45,08/19/2020 17:30,AUDCAD,Sell,0.02,0,0,0.95564,0.95264,30,532.99,00:04:45:00,0.05
08/11/20 21:45,08/14/2020 23:30,AUDCAD,Buy,0.01,0,0,0.94972,0.95131,15.9,134.12,03:01:45:00,0.01
08/06/20 18:00,08/07/20 19:15,AUDCAD,Sell,0.01,0,0,0.95978,0.95813,16.5,144.77,01:01:15:00,0.01
07/31/2020 18:45,08/03/20 23:30,AUDCAD,Buy,0.01,0,0,0.95762,0.9538,-38.2,-353.6,03:04:45:00,-0.03
08/03/20 16:30,08/03/20 23:30,AUDCAD,Buy,0.02,0,0,0.95111,0.9538,26.9,477.03,00:07:00:00,0.04
07/31/2020 04:45,07/31/2020 06:15,AUDCAD,Sell,0.01,0,0,0.96801,0.96631,17,149.29,00:01:30:00,0.01
07/21/2020 20:00,07/22/2020 10:45,AUDCAD,Sell,0.01,0,0,0.95666,0.95963,-29.7,-271.8,00:14:45:00,-0.02
07/22/2020 10:15,07/22/2020 10:45,AUDCAD,Sell,0.02,0,0,0.96283,0.95963,32,569.07,00:00:30:00,0.05
07/15/2020 18:45,07/17/2020 08:45,AUDCAD,Buy,0.01,0,0,0.94777,0.9492,14.3,121.45,01:14:00:00,0.01
07/07/20 17:15,07/07/20 22:45,AUDCAD,Sell,0.01,0,0,0.94645,0.94491,15.4,134.86,00:05:30:00,0.01
06/23/2020 15:45,06/23/2020 20:00,AUDCAD,Sell,0.01,0,0,0.94009,0.93846,16.3,142.98,00:04:15:00,0.01
06/19/2020 15:15,06/19/2020 17:30,AUDCAD,Sell,0.01,0,0,0.93519,0.93324,19.5,171.83,00:02:15:00,0.01
06/15/2020 21:45,06/16/2020 17:30,AUDCAD,Sell,0.01,0,0,0.93785,0.93596,18.9,166.41,00:19:45:00,0.01
06/15/2020 17:00,06/15/2020 17:30,AUDCAD,Sell,0.01,0,0,0.93443,0.93281,16.2,142.07,00:00:30:00,0.01
06/09/20 11:15,06/09/20 12:30,AUDCAD,Buy,0.01,0,0,0.93076,0.93219,14.3,124.92,00:01:15:00,0.01
06/05/20 9:00,06/05/20 12:00,AUDCAD,Sell,0.01,0,0,0.94239,0.94012,22.7,200.68,00:03:00:00,0.02
06/04/20 17:45,06/04/20 20:00,AUDCAD,Sell,0.01,0,0,0.93854,0.9364,21.4,188.96,00:02:15:00,0.02
06/03/20 3:15,06/03/20 11:15,AUDCAD,Sell,0.01,0,0,0.93464,0.93182,28.2,250.27,00:08:00:00,0.02
05/28/2020 18:00,05/28/2020 22:30,AUDCAD,Sell,0.01,0,0,0.91634,0.91474,16,140.27,00:04:30:00,0.01
05/27/2020 16:00,05/28/2020 16:00,AUDCAD,Buy,0.01,0,0,0.91113,0.91275,16.2,140.31,01:00:00:00,0.01
05/26/2020 11:45,05/26/2020 14:15,AUDCAD,Sell,0.01,0,0,0.91908,0.91755,15.3,133.96,00:02:30:00,0.01
05/12/20 14:30,05/12/20 20:30,AUDCAD,Sell,0.01,0,0,0.91253,0.9105,20.3,179.04,00:06:00:00,0.02
05/12/20 4:00,05/12/20 7:00,AUDCAD,Buy,0.01,0,0,0.9051,0.90669,15.9,139.35,00:03:00:00,0.01
04/30/2020 16:15,04/30/2020 16:45,AUDCAD,Buy,0.01,0,0,0.90279,0.90419,14,122.22,00:00:30:00,0.01
04/27/2020 04:30,04/29/2020 12:30,AUDCAD,Sell,0.01,0,0,0.90548,0.90898,-35,-319.58,02:08:00:00,-0.03
04/29/2020 09:30,04/29/2020 12:30,AUDCAD,Sell,0.02,0,0,0.9117,0.90898,27.2,482.5,00:03:00:00,0.04
04/20/2020 12:15,04/20/2020 17:00,AUDCAD,Sell,0.01,0,0,0.89778,0.89589,18.9,166.41,00:04:45:00,0.01
04/15/2020 09:00,04/15/2020 18:00,AUDCAD,Buy,0.01,0,0,0.88825,0.89053,22.8,201.55,00:09:00:00,0.02
04/08/20 17:30,04/13/2020 23:15,AUDCAD,Sell,0.01,0,0,0.87021,0.88564,-154.3,-1395.27,05:05:45:00,-0.12
04/09/20 15:45,04/13/2020 23:15,AUDCAD,Sell,0.02,0,0,0.87687,0.88564,-87.7,-1589.51,04:07:30:00,-0.14
04/09/20 20:45,04/13/2020 23:15,AUDCAD,Sell,0.04,0,0,0.88429,0.88564,-13.5,-502.89,04:02:30:00,-0.04
04/13/2020 18:15,04/13/2020 23:15,AUDCAD,Sell,0.08,0,0,0.89067,0.88564,50.3,3596.28,00:05:00:00,0.31
04/06/20 16:00,04/06/20 22:45,AUDCAD,Sell,0.01,0,0,0.85991,0.85828,16.3,142.98,00:06:45:00,0.01
03/30/2020 16:30,03/30/2020 17:00,AUDCAD,Sell,0.01,0,0,0.87345,0.8708,26.5,234.94,00:00:30:00,0.02
03/25/2020 20:30,03/26/2020 06:30,AUDCAD,Buy,0.01,0,0,0.84921,0.84186,-73.5,-668.37,00:10:00:00,-0.06
03/26/2020 01:30,03/26/2020 06:30,AUDCAD,Buy,0.02,0,0,0.84301,0.84186,-11.5,-215.36,00:05:00:00,-0.02
03/26/2020 04:30,03/26/2020 06:30,AUDCAD,Buy,0.04,0,0,0.83691,0.84186,49.5,1769.05,00:02:00:00,0.15
03/24/2020 03:00,03/24/2020 14:15,AUDCAD,Sell,0.01,0,0,0.85046,0.85448,-40.2,-366.46,00:11:15:00,-0.03
03/24/2020 09:45,03/24/2020 14:15,AUDCAD,Sell,0.02,0,0,0.8577,0.85448,32.2,572.67,00:04:30:00,0.05
03/19/2020 18:45,03/19/2020 19:00,AUDCAD,Sell,0.01,0,0,0.8544,0.84633,80.7,723.64,00:00:15:00,0.06
03/17/2020 14:00,03/17/2020 14:15,AUDCAD,Buy,0.01,0,0,0.84532,0.84737,20.5,180.81,00:00:15:00,0.02
03/13/2020 19:15,03/13/2020 19:30,AUDCAD,Buy,0.01,0,0,0.85724,0.86067,34.3,305.23,00:00:15:00,0.03
03/12/20 12:30,03/12/20 20:30,AUDCAD,Buy,0.01,0,0,0.88404,0.87514,-89,-806.37,00:08:00:00,-0.07
03/12/20 16:30,03/12/20 20:30,AUDCAD,Buy,0.02,0,0,0.87645,0.87514,-13.1,-244.21,00:04:00:00,-0.02
03/12/20 18:15,03/12/20 20:30,AUDCAD,Buy,0.04,0,0,0.87008,0.87514,50.6,1808.72,00:02:15:00,0.16
03/09/20 0:30,03/09/20 4:15,AUDCAD,Sell,0.01,0,0,0.89525,0.89858,-33.3,-304.25,00:03:45:00,-0.03
03/09/20 2:45,03/09/20 4:15,AUDCAD,Sell,0.02,0,0,0.90126,0.89858,26.8,475.29,00:01:30:00,0.04
02/27/2020 16:15,02/28/2020 06:45,AUDCAD,Sell,0.01,0,0,0.87905,0.87761,14.4,125.84,00:14:30:00,0.01
02/26/2020 08:15,02/27/2020 09:45,AUDCAD,Buy,0.01,0,0,0.87354,0.87511,15.7,135.8,01:01:30:00,0.01
02/18/2020 02:45,02/24/2020 11:15,AUDCAD,Buy,0.01,0,0,0.88639,0.87685,-95.4,-874.51,06:08:30:00,-0.08
02/20/2020 03:45,02/24/2020 11:15,AUDCAD,Buy,0.02,0,0,0.87965,0.87685,-28,-526.78,04:07:30:00,-0.05
02/24/2020 00:01,02/24/2020 11:15,AUDCAD,Buy,0.04,0,0,0.87271,0.87685,41.4,1476.95,00:11:14:00,0.13
02/04/20 6:30,02/04/20 11:15,AUDCAD,Sell,0.01,0,0,0.89315,0.89132,18.3,161,00:04:45:00,0.01
