Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain,
16/06/2021 21:15,24/06/2021 14:48,XAUUSD,Sell,0.05,-,-,1838.54000,1786.19000,0.0,217.29,7d ,+2.23%,
16/06/2021 22:15,22/06/2021 19:30,USDCHF,Buy,0.17,-,-,0.90627,0.91917,0.0,199.78,5d ,+2.09%,
21/06/2021 12:00,22/06/2021 03:45,EURUSD,Sell,0.25,-,-,1.18923,1.19084,0.0,-34.83,15h 45m,-0.36%,
16/06/2021 23:00,17/06/2021 16:30,USDJPY,Buy,0.14,-,-,110.63600,110.38000,0.0,-28.13,17h 29m,-0.29%,
16/06/2021 22:15,17/06/2021 10:12,EURUSD,Sell,0.20,-,-,1.20219,1.19622,0.0,98.85,11h 57m,+1.04%,
16/06/2021 21:15,16/06/2021 21:45,EURUSD,Sell,0.20,-,-,1.20433,1.20109,0.0,53.19,30m,+0.56%,
14/06/2021 12:20,14/06/2021 18:35,AUDUSD,Sell,0.11,-,-,0.77173,0.77146,0.0,2.18,6h 15m,+0.02%,
11/06/2021 14:30,11/06/2021 18:17,EURUSD,Sell,0.20,-,-,1.21398,1.20974,0.0,69.34,3h 47m,+0.74%,
07/06/2021 10:00,08/06/2021 14:15,USDZAR,Sell,0.04,-,-,13.45382,13.53845,0.0,-20.33,1d ,-0.22%,
08/06/2021 06:15,08/06/2021 10:05,AUDUSD,Buy,0.12,-,-,0.77471,0.77539,0.0,6.41,3h 50m,+0.07%,
03/06/2021 17:15,04/06/2021 15:30,EURUSD,Sell,0.20,-,-,1.21379,1.21372,0.0,0.33,22h 15m,+0.00%,
03/06/2021 15:30,04/06/2021 04:45,USDZAR,Sell,0.04,-,-,13.56950,13.62730,0.0,-13.78,13h 15m,-0.15%,
03/06/2021 12:00,03/06/2021 14:30,USDZAR,Sell,0.04,-,-,13.55806,13.52276,0.0,8.44,2h 30m,+0.09%,
25/05/2021 17:15,27/05/2021 22:45,EURJPY,Buy,0.06,-,-,133.39100,133.94300,0.0,23.74,2d ,+0.25%,
25/05/2021 17:15,25/05/2021 17:40,XAUUSD,Buy,0.05,-,-,1895.05000,1888.74000,0.0,-26.05,25m,-0.28%,
13/05/2021 17:00,13/05/2021 20:30,AUDUSD,Sell,0.11,-,-,0.77380,0.77157,0.0,20.05,3h 30m,+0.21%,
10/05/2021 21:25,11/05/2021 05:40,AUDUSD,Buy,0.12,-,-,0.78501,0.78432,0.0,-7.32,8h 15m,-0.08%,
07/05/2021 23:30,10/05/2021 03:15,EURJPY,Buy,0.06,-,-,132.09500,132.26900,0.0,7.46,2d ,+0.08%,
15/04/2021 17:15,07/05/2021 15:32,XAUUSD,Buy,0.05,-,-,1763.45000,1833.01000,0.0,282.24,21d ,+3.10%,
07/05/2021 10:35,07/05/2021 11:40,AUDUSD,Buy,0.12,-,-,0.77655,0.77790,0.0,13.12,1h 4m,+0.14%,
28/04/2021 22:45,29/04/2021 16:50,EURUSD,Buy,0.20,-,-,1.21250,1.21082,0.0,-30.87,18h 5m,-0.34%,
28/04/2021 06:45,28/04/2021 18:00,EURJPY,Buy,0.06,-,-,131.48100,131.65400,0.0,7.65,11h 15m,+0.08%,
27/04/2021 05:25,27/04/2021 08:30,AUDUSD,Buy,0.12,-,-,0.77832,0.77940,0.0,10.44,3h 4m,+0.11%,
19/04/2021 11:00,20/04/2021 09:45,USDJPY,Sell,0.14,-,-,108.23000,108.45800,0.0,-25.22,22h 44m,-0.28%,
19/04/2021 11:15,20/04/2021 09:25,EURUSD,Buy,0.20,-,-,1.20178,1.20494,0.0,50.89,22h 10m,+0.56%,
16/04/2021 10:45,19/04/2021 05:45,USDZAR,Sell,0.04,-,-,14.23450,14.30404,0.0,-16.10,2d ,-0.18%,
16/04/2021 04:05,16/04/2021 08:55,AUDUSD,Buy,0.12,-,-,0.77362,0.77445,0.0,8.02,4h 50m,+0.09%,
13/04/2021 16:45,15/04/2021 15:59,EURUSD,Buy,0.20,-,-,1.19389,1.19593,0.0,30.16,1d ,+0.33%,
15/04/2021 08:30,15/04/2021 10:00,USDZAR,Sell,0.04,-,-,14.43090,14.37000,0.0,14.02,1h 30m,+0.15%,
14/04/2021 11:45,14/04/2021 14:15,USDZAR,Sell,0.04,-,-,14.52943,14.49890,0.0,6.91,2h 30m,+0.08%,
08/04/2021 15:45,09/04/2021 09:15,USDJPY,Sell,0.14,-,-,109.03000,109.43500,0.0,-44.38,17h 30m,-0.49%,
06/04/2021 05:15,06/04/2021 12:15,USDZAR,Sell,0.04,-,-,14.58411,14.56200,0.0,5.01,6h 59m,+0.06%,
05/04/2021 17:15,06/04/2021 06:15,USDJPY,Sell,0.14,-,-,110.08900,110.38100,0.0,-32.26,12h 59m,-0.35%,
29/03/2021 16:45,31/03/2021 17:47,XAUUSD,Sell,0.05,-,-,1710.57000,1700.65000,0.0,41.69,2d ,+0.46%,
30/03/2021 10:45,31/03/2021 10:23,EURUSD,Sell,0.20,-,-,1.17361,1.17359,0.0,-0.45,23h 38m,+0.00%,
18/03/2021 15:30,19/03/2021 07:45,AUDUSD,Buy,0.12,-,-,0.77876,0.77523,0.0,-36.04,16h 14m,-0.40%,
18/03/2021 10:30,18/03/2021 23:30,USDZAR,Sell,0.04,-,-,14.71631,14.73690,0.0,-4.82,12h 59m,-0.05%,
16/03/2021 20:15,17/03/2021 00:15,EURJPY,Sell,0.06,-,-,129.69900,129.73200,0.0,-1.80,4h 0m,-0.02%,
16/03/2021 18:45,16/03/2021 20:36,EURUSD,Sell,0.20,-,-,1.18854,1.19094,0.0,-41.06,1h 51m,-0.45%,
12/03/2021 08:15,12/03/2021 18:30,USDZAR,Sell,0.04,-,-,14.92531,14.94880,0.0,-5.40,10h 14m,-0.06%,
12/03/2021 08:15,12/03/2021 15:40,AUDUSD,Buy,0.12,-,-,0.77686,0.77595,0.0,-9.44,7h 24m,-0.10%,
09/03/2021 09:15,09/03/2021 18:00,USDZAR,Buy,0.04,-,-,15.45470,15.42060,0.0,-7.58,8h 44m,-0.08%,
04/03/2021 21:00,08/03/2021 11:22,EURUSD,Sell,0.20,-,-,1.19686,1.18691,0.0,166.84,3d ,+1.85%,
05/03/2021 16:15,05/03/2021 17:00,USDZAR,Buy,0.04,-,-,15.25793,15.33487,0.0,16.72,45m,+0.19%,
04/03/2021 09:30,04/03/2021 10:45,USDZAR,Buy,0.04,-,-,15.04900,15.09365,0.0,9.70,1h 14m,+0.11%,
25/02/2021 17:15,01/03/2021 09:29,XAUUSD,Sell,0.05,-,-,1774.96000,1757.62000,0.0,71.14,3d ,+0.80%,
26/02/2021 09:45,26/02/2021 13:30,USDZAR,Buy,0.04,-,-,14.92768,14.99620,0.0,14.97,3h 44m,+0.17%,
25/02/2021 17:15,25/02/2021 20:35,AUDUSD,Buy,0.11,-,-,0.79631,0.78905,0.0,-65.89,3h 20m,-0.73%,
25/02/2021 11:00,25/02/2021 20:07,EURUSD,Buy,0.20,-,-,1.22079,1.21884,0.0,-32.76,9h 7m,-0.36%,
25/02/2021 16:00,25/02/2021 20:05,EURJPY,Buy,0.06,-,-,129.65100,129.65400,0.0,-0.09,4h 5m,+0.00%,
24/02/2021 10:45,24/02/2021 13:15,USDZAR,Sell,0.04,-,-,14.60502,14.55270,0.0,11.70,2h 30m,+0.13%,
24/02/2021 07:15,24/02/2021 11:30,EURJPY,Buy,0.06,-,-,128.11300,128.72600,0.0,28.34,4h 15m,+0.32%,
23/02/2021 10:40,23/02/2021 17:25,AUDUSD,Buy,0.11,-,-,0.79048,0.79083,0.0,2.90,6h 45m,+0.03%,
22/02/2021 09:30,22/02/2021 12:35,AUDUSD,Buy,0.12,-,-,0.78597,0.78781,0.0,17.91,3h 5m,+0.20%,
17/02/2021 22:00,19/02/2021 15:00,EURJPY,Sell,0.06,-,-,127.49100,127.76300,0.0,-13.19,1d ,-0.15%,
11/02/2021 19:30,16/02/2021 17:23,XAUUSD,Sell,0.05,-,-,1824.84000,1812.29000,0.0,51.12,4d ,+0.57%,
12/02/2021 15:45,12/02/2021 17:42,EURUSD,Sell,0.20,-,-,1.20897,1.21055,0.0,-26.86,1h 57m,-0.30%,
10/02/2021 11:45,10/02/2021 13:15,AUDUSD,Buy,0.12,-,-,0.77264,0.77376,0.0,10.79,1h 29m,+0.12%,
08/02/2021 11:40,08/02/2021 15:45,AUDUSD,Buy,0.12,-,-,0.76610,0.76721,0.0,10.77,4h 4m,+0.12%,
