Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain,
23/06/2021 10:32,25/06/2021 15:28,EURJPY,Buy,0.01,-,-,132.36900,132.18800,0.0,-2.31,2d ,-0.01%,
25/06/2021 06:41,25/06/2021 08:14,EURGBP,Buy,0.05,-,-,0.85697,0.85728,0.0,2.84,1h 33m,+0.01%,
24/06/2021 21:00,25/06/2021 01:40,EURGBP,Buy,0.02,-,-,0.85680,0.85693,0.0,0.39,4h 39m,+0.00%,
24/06/2021 10:45,25/06/2021 01:39,EURJPY,Sell,0.01,-,-,132.34600,132.28600,0.0,0.72,14h 53m,+0.00%,
24/06/2021 11:57,25/06/2021 00:40,USDCAD,Buy,0.02,-,-,1.22991,1.23194,0.0,4.25,12h 43m,+0.02%,
23/06/2021 09:28,24/06/2021 14:00,GBPJPY,Sell,0.02,-,-,154.64000,154.39500,0.0,5.66,1d ,+0.02%,
23/04/2021 16:19,23/06/2021 10:31,EURJPY,Sell,0.01,-,-,129.90100,132.35400,0.0,-28.69,60d ,-0.12%,
21/06/2021 06:45,22/06/2021 22:06,EURUSD,Buy,0.01,-,-,1.18509,1.19468,0.0,12.64,1d ,+0.05%,
18/06/2021 18:03,22/06/2021 20:00,USDCAD,Sell,0.01,-,-,1.24561,1.23329,0.0,13.23,4d ,+0.06%,
18/06/2021 18:03,22/06/2021 19:58,USDCAD,Sell,0.01,-,-,1.24579,1.23391,0.0,12.75,4d ,+0.05%,
17/06/2021 13:45,22/06/2021 19:38,EURUSD,Buy,0.01,-,-,1.19295,1.19369,0.0,0.83,5d ,+0.00%,
18/06/2021 15:31,22/06/2021 19:30,EURUSD,Buy,0.01,-,-,1.18805,1.19268,0.0,6.04,4d ,+0.03%,
17/06/2021 19:30,22/06/2021 19:22,EURUSD,Buy,0.01,-,-,1.18939,1.19227,0.0,3.67,4d ,+0.02%,
18/06/2021 17:01,22/06/2021 18:15,USDCAD,Sell,0.01,-,-,1.23990,1.23647,0.0,3.66,4d ,+0.02%,
18/06/2021 11:14,22/06/2021 00:40,GBPJPY,Sell,0.01,-,-,152.80200,153.74400,0.0,-11.38,3d ,-0.05%,
17/06/2021 16:37,22/06/2021 00:39,GBPJPY,Sell,0.02,-,-,154.03000,153.74300,0.0,6.72,4d ,+0.03%,
18/06/2021 16:30,21/06/2021 22:15,USDCAD,Sell,0.01,-,-,1.23902,1.23578,0.0,3.47,3d ,+0.01%,
17/06/2021 14:33,21/06/2021 22:07,GBPJPY,Sell,0.02,-,-,154.50400,153.68300,0.0,19.62,4d ,+0.08%,
18/06/2021 18:30,21/06/2021 18:30,USDCAD,Sell,0.02,-,-,1.24775,1.23759,0.0,21.80,3d ,+0.09%,
17/06/2021 19:30,21/06/2021 18:30,USDCAD,Sell,0.01,-,-,1.23719,1.23760,0.0,-0.48,3d ,+0.00%,
18/06/2021 18:30,21/06/2021 17:07,USDCAD,Sell,0.01,-,-,1.24779,1.23773,0.0,10.78,2d ,+0.05%,
18/06/2021 17:30,21/06/2021 17:00,EURUSD,Buy,0.01,-,-,1.18602,1.19089,0.0,6.43,2d ,+0.03%,
18/06/2021 18:03,21/06/2021 16:20,USDCAD,Sell,0.01,-,-,1.24554,1.23972,0.0,6.23,2d ,+0.03%,
18/06/2021 18:15,21/06/2021 16:20,EURUSD,Buy,0.01,-,-,1.18561,1.19022,0.0,6.08,2d ,+0.03%,
18/06/2021 18:03,21/06/2021 16:00,USDCAD,Sell,0.01,-,-,1.24561,1.24069,0.0,5.27,2d ,+0.02%,
18/06/2021 18:03,21/06/2021 15:15,USDCAD,Sell,0.01,-,-,1.24586,1.24127,0.0,4.91,2d ,+0.02%,
18/06/2021 17:31,21/06/2021 15:13,USDCAD,Sell,0.01,-,-,1.24178,1.24120,0.0,0.61,2d ,+0.00%,
18/06/2021 18:03,21/06/2021 15:00,USDCAD,Sell,0.01,-,-,1.24554,1.24223,0.0,3.53,2d ,+0.02%,
18/06/2021 17:30,21/06/2021 13:45,GBPUSD,Buy,0.01,-,-,1.38246,1.38796,0.0,7.31,2d ,+0.03%,
18/06/2021 16:45,21/06/2021 13:00,EURUSD,Buy,0.01,-,-,1.18680,1.18973,0.0,3.85,2d ,+0.02%,
18/06/2021 18:03,21/06/2021 12:50,USDCAD,Sell,0.02,-,-,1.24553,1.24283,0.0,5.76,2d ,+0.02%,
18/06/2021 16:30,21/06/2021 12:50,USDCAD,Sell,0.01,-,-,1.23910,1.24283,0.0,-4.00,2d ,-0.02%,
18/06/2021 17:31,21/06/2021 12:30,GBPUSD,Buy,0.01,-,-,1.38243,1.38681,0.0,5.82,2d ,+0.02%,
18/06/2021 17:31,21/06/2021 12:27,GBPUSD,Buy,0.01,-,-,1.38243,1.38657,0.0,5.50,2d ,+0.02%,
18/06/2021 15:45,21/06/2021 12:23,GBPUSD,Buy,0.01,-,-,1.38578,1.38612,0.0,0.44,2d ,+0.00%,
18/06/2021 17:30,21/06/2021 12:14,GBPUSD,Buy,0.01,-,-,1.38246,1.38533,0.0,3.82,2d ,+0.02%,
18/06/2021 16:46,21/06/2021 12:10,GBPUSD,Buy,0.01,-,-,1.38390,1.38527,0.0,1.82,2d ,+0.01%,
18/06/2021 16:45,21/06/2021 12:00,EURUSD,Buy,0.01,-,-,1.18680,1.18919,0.0,3.14,2d ,+0.01%,
18/06/2021 17:30,21/06/2021 11:15,EURUSD,Buy,0.01,-,-,1.18602,1.18863,0.0,3.43,2d ,+0.01%,
18/06/2021 16:30,21/06/2021 11:00,EURUSD,Buy,0.01,-,-,1.18749,1.18829,0.0,1.01,2d ,+0.00%,
13/04/2021 03:53,21/06/2021 10:14,NZDJPY,Sell,0.01,-,-,76.83800,76.41200,0.0,3.27,69d ,+0.01%,
21/06/2021 03:56,21/06/2021 10:14,GBPJPY,Sell,0.01,-,-,152.40000,151.79400,0.0,7.36,6h 17m,+0.03%,
21/06/2021 06:56,21/06/2021 09:14,GBPJPY,Buy,0.02,-,-,151.55700,151.78900,0.0,5.63,2h 18m,+0.02%,
21/06/2021 06:54,21/06/2021 08:52,EURJPY,Buy,0.02,-,-,130.19100,130.34700,0.0,3.79,1h 57m,+0.02%,
17/06/2021 11:21,21/06/2021 06:58,GBPJPY,Sell,0.02,-,-,154.66900,151.54600,0.0,75.74,3d ,+0.33%,
13/04/2021 11:00,21/06/2021 06:54,NZDJPY,Sell,0.02,-,-,76.72700,76.34000,0.0,5.81,68d ,+0.03%,
18/06/2021 23:51,21/06/2021 03:58,EURJPY,Buy,0.01,-,-,130.71500,130.84200,0.0,1.50,2d ,+0.01%,
18/06/2021 12:25,18/06/2021 16:12,EURJPY,Sell,0.02,-,-,131.32000,131.00900,0.0,7.52,3h 46m,+0.03%,
24/02/2021 05:47,18/06/2021 12:52,AUDUSD,Buy,0.01,-,-,0.79263,0.75391,0.0,-54.43,114d ,-0.23%,
18/06/2021 12:26,18/06/2021 12:52,AUDUSD,Sell,0.04,-,-,0.75501,0.75396,0.0,5.57,25m,+0.02%,
18/06/2021 10:20,18/06/2021 10:45,EURJPY,Buy,0.01,-,-,130.95500,131.10000,0.0,1.75,24m,+0.01%,
