Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain
30/06/21 1:00,30/06/21 3:00,EURJPY,Buy,0.1,-,-,131.573,131.537,0,-360,1h 59m,-0.10%
30/06/21 1:35,30/06/21 2:10,USDJPY,Buy,0.1,-,-,110.523,110.546,0,230,35m,0.06%
30/06/21 1:50,30/06/21 2:10,EURJPY,Buy,0.1,-,-,131.507,131.515,0,80,20m,0.02%
29/06/21 4:45,29/06/21 9:21,GBPJPY,Sell,0.1,-,-,153.253,153.465,0,-2120,4h 36m,-0.59%
28/06/21 1:50,28/06/21 2:10,AUDJPY,Buy,0.1,-,-,84.005,84.04,0,350,20m,0.10%
25/06/21 4:35,25/06/21 7:15,CADJPY,Sell,0.1,-,-,90.034,90.026,0,80,2h 39m,0.02%
25/06/21 4:35,25/06/21 7:00,GBPJPY,Sell,0.1,-,-,154.462,154.424,0,380,2h 25m,0.11%
25/06/21 4:15,25/06/21 7:00,EURJPY,Sell,0.1,-,-,132.386,132.366,0,200,2h 44m,0.06%
25/06/21 4:20,25/06/21 7:00,CHFJPY,Sell,0.1,-,-,120.866,120.822,0,440,2h 39m,0.12%
25/06/21 1:00,25/06/21 3:00,EURJPY,Buy,0.1,-,-,132.296,132.303,0,70,1h 59m,0.02%
23/06/21 4:05,23/06/21 10:00,CADJPY,Sell,0.1,-,-,89.943,90.087,0,-1440,5h 55m,-0.40%
23/06/21 4:05,23/06/21 9:51,CHFJPY,Sell,0.1,-,-,120.535,120.737,0,-2020,5h 46m,-0.56%
23/06/21 4:05,23/06/21 7:00,EURJPY,Sell,0.1,-,-,132.202,132.06,0,1420,2h 54m,0.40%
23/06/21 4:05,23/06/21 7:00,GBPJPY,Sell,0.1,-,-,154.43,154.302,0,1280,2h 55m,0.36%
23/06/21 4:05,23/06/21 7:00,USDJPY,Sell,0.1,-,-,110.783,110.76,0,230,2h 55m,0.06%
22/06/21 1:30,22/06/21 2:10,USDJPY,Buy,0.1,-,-,110.28,110.329,0,490,40m,0.14%
22/06/21 1:30,22/06/21 2:10,GBPJPY,Buy,0.1,-,-,153.662,153.663,0,10,39m,0.00%
21/06/21 1:20,21/06/21 2:10,USDJPY,Buy,0.1,-,-,110.165,110.189,0,240,50m,0.07%
15/06/21 1:00,15/06/21 3:00,EURJPY,Buy,0.1,-,-,133.415,133.387,0,-280,1h 59m,-0.08%
10/06/21 1:00,10/06/21 3:00,EURJPY,Buy,0.1,-,-,133.513,133.489,0,-240,1h 59m,-0.07%
01/06/21 1:05,01/06/21 2:10,USDJPY,Buy,0.1,-,-,109.547,109.526,0,-210,1h 5m,-0.06%
31/05/21 4:55,31/05/21 7:15,GBPJPY,Sell,0.1,-,-,155.709,155.671,0,380,2h 20m,0.11%
31/05/21 4:55,31/05/21 7:15,CHFJPY,Sell,0.1,-,-,121.994,121.975,0,190,2h 19m,0.05%
31/05/21 4:20,31/05/21 7:05,AUDJPY,Sell,0.1,-,-,84.719,84.719,0,0,2h 45m,0.00%
28/05/21 4:10,28/05/21 7:10,USDJPY,Sell,0.1,-,-,109.933,109.832,0,1010,3h 0m,0.28%
28/05/21 4:00,28/05/21 7:10,CHFJPY,Sell,0.1,-,-,122.468,122.386,0,820,3h 10m,0.23%
28/05/21 4:10,28/05/21 7:10,AUDJPY,Sell,0.1,-,-,85.081,85.077,0,40,2h 59m,0.01%
27/05/21 4:10,27/05/21 7:00,USDJPY,Sell,0.1,-,-,109.199,109.06,0,1390,2h 49m,0.39%
26/05/21 4:45,26/05/21 9:10,CADJPY,Sell,0.1,-,-,90.192,90.274,0,-820,4h 24m,-0.23%
26/05/21 4:45,26/05/21 6:15,AUDJPY,Sell,0.1,-,-,84.356,84.662,0,-3060,1h 30m,-0.86%
25/05/21 4:00,25/05/21 10:00,GBPJPY,Sell,0.1,-,-,154.11,154.307,0,-1970,5h 59m,-0.55%
25/05/21 4:00,25/05/21 9:50,CADJPY,Sell,0.1,-,-,90.302,90.297,0,50,5h 49m,0.01%
