Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain,
16/06/2021 22:35,17/06/2021 00:45,GBPUSD,Buy,0.46,-,-,1.40063,1.39863,0.0,-100.57,2h 10m,-4.38%,
16/06/2021 23:15,17/06/2021 00:45,GBPUSD,Buy,0.47,-,-,1.39863,1.39863,0.0,-8.76,1h 30m,-0.38%,
16/06/2021 22:55,17/06/2021 00:45,GBPUSD,Buy,0.46,-,-,1.39995,1.39863,0.0,-69.29,1h 50m,-2.92%,
16/06/2021 22:20,16/06/2021 23:03,EURCAD,Buy,0.46,-,-,1.47168,1.47268,0.0,34.29,43m,+1.47%,
16/06/2021 22:45,16/06/2021 23:00,EURCAD,Buy,0.46,-,-,1.47081,1.47229,0.0,52.31,15m,+2.29%,
15/06/2021 23:35,16/06/2021 00:48,EURCAD,Buy,0.46,-,-,1.47752,1.47756,0.0,-4.24,1h 13m,-0.19%,
09/06/2021 20:30,09/06/2021 22:26,EURAUD,Buy,0.45,-,-,1.57432,1.57538,0.0,33.72,1h 56m,+1.49%,
09/06/2021 22:00,09/06/2021 22:05,EURAUD,Buy,0.45,-,-,1.57430,1.57468,0.0,10.07,5m,+0.45%,
08/06/2021 22:10,09/06/2021 00:50,EURAUD,Buy,0.45,-,-,1.57283,1.57331,0.0,10.72,2h 40m,+0.48%,
08/06/2021 22:05,08/06/2021 23:35,EURAUD,Buy,0.45,-,-,1.57304,1.57313,0.0,-0.02,1h 30m,+0.00%,
07/06/2021 23:40,08/06/2021 00:44,GBPUSD,Buy,0.45,-,-,1.41786,1.41795,0.0,-0.69,1h 4m,-0.03%,
03/06/2021 23:25,04/06/2021 02:31,EURAUD,Buy,0.45,-,-,1.58339,1.58368,0.0,4.03,3h 6m,+0.18%,
03/06/2021 23:20,04/06/2021 01:00,EURAUD,Buy,0.45,-,-,1.58358,1.58343,0.0,-11.14,1h 40m,-0.50%,
02/06/2021 22:05,02/06/2021 23:30,EURAUD,Buy,0.44,-,-,1.57478,1.57538,0.0,17.38,1h 25m,+0.78%,
02/06/2021 22:05,02/06/2021 23:24,EURCAD,Buy,0.44,-,-,1.46921,1.46971,0.0,15.19,1h 19m,+0.69%,
02/06/2021 22:05,02/06/2021 23:04,EURAUD,Buy,0.44,-,-,1.57478,1.57518,0.0,10.56,59m,+0.48%,
01/06/2021 22:20,01/06/2021 22:43,EURAUD,Buy,0.44,-,-,1.57495,1.57571,0.0,22.85,23m,+1.05%,
28/05/2021 23:10,28/05/2021 23:29,EURCAD,Buy,0.43,-,-,1.47228,1.47282,0.0,16.20,19m,+0.75%,
