Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
09/29/2020 23:15,09/29/2020 23:49,USDJPY,Buy,0.1,105.193,0,105.643,105.67,2.7,230,00:00:34:00,0.02
09/28/2020 22:30,09/29/2020 01:45,USDJPY,Buy,0.1,105.055,0,105.505,105.533,2.8,226,00:03:15:00,0.02
09/28/2020 01:30,09/28/2020 10:15,USDJPY,Buy,0.1,105.118,0,105.568,105.404,-16.4,-1680,00:08:45:00,-0.12
09/25/2020 23:15,09/28/2020 01:00,USDJPY,Buy,0.1,105.122,0,105.572,105.637,6.5,568,02:01:45:00,0.04
09/24/2020 01:45,09/24/2020 03:15,USDJPY,Buy,0.1,104.909,0,105.359,105.406,4.7,430,00:01:30:00,0.03
09/22/2020 23:00,09/23/2020 01:15,USDJPY,Buy,0.1,104.481,0,104.931,104.994,6.3,576,00:02:15:00,0.04
09/21/2020 23:30,09/22/2020 03:45,USDJPY,Buy,0.1,104.239,0,104.689,104.715,2.6,206,00:04:15:00,0.01
09/18/2020 22:45,09/21/2020 01:15,USDJPY,Sell,0.1,105.022,0,104.572,104.479,9.3,809,02:02:30:00,0.06
09/16/2020 22:30,09/17/2020 08:45,USDJPY,Sell,0.1,105.468,0,105.018,105.009,0.9,23,00:10:15:00,0
09/14/2020 22:30,09/15/2020 03:15,USDJPY,Sell,0.1,106.147,0,105.697,105.69,0.7,3,00:04:45:00,0
09/14/2020 01:30,09/14/2020 06:00,USDJPY,Sell,0.1,106.576,0,106.126,106.108,1.8,140,00:04:30:00,0.01
09/10/20 1:45,09/10/20 5:00,USDJPY,Sell,0.1,106.659,0,106.209,106.162,4.7,430,00:03:15:00,0.03
09/03/20 23:15,09/04/20 2:30,USDJPY,Sell,0.1,106.603,0,106.153,106.065,8.8,813,00:03:15:00,0.06
09/01/20 23:00,09/02/20 1:15,USDJPY,Buy,0.1,105.488,0,105.938,105.975,3.7,316,00:02:15:00,0.02
09/01/20 1:45,09/01/20 2:15,USDJPY,Buy,0.1,105.401,0,105.851,105.931,8,760,00:00:30:00,0.05
08/31/2020 01:30,08/31/2020 18:30,USDJPY,Sell,0.1,106.217,0,105.767,105.827,-6,-640,00:17:00:00,-0.05
