Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain
29/06/21 11:06,29/06/21 15:27,EURUSD,Sell,0.35,-,-,1.19024,1.1886,0,56.07,4h 20m,1.85%
29/06/21 4:07,29/06/21 9:15,USDJPY,Sell,0.65,-,-,110.48,110.612,0,-79.65,5h 7m,-2.56%
28/06/21 22:01,29/06/21 3:41,GBPUSD,Sell,0.19,-,-,1.3876,1.38634,0,22.61,5h 40m,0.73%
25/06/21 20:31,25/06/21 21:35,GBPUSD,Sell,0.18,-,-,1.38911,1.38755,0,27.28,1h 3m,0.89%
25/06/21 16:54,25/06/21 18:03,EURUSD,Buy,0.37,-,-,1.19702,1.19482,0,-82.82,1h 8m,-2.64%
24/06/21 3:52,24/06/21 4:55,USDJPY,Buy,0.68,-,-,111.103,110.973,0,-81.84,1h 3m,-2.54%
23/06/21 15:13,23/06/21 17:05,GBPUSD,Buy,0.19,-,-,1.39872,1.39973,0,18.34,1h 51m,0.57%
23/06/21 9:40,23/06/21 10:09,GBPUSD,Buy,0.18,-,-,1.39563,1.3967,0,18.46,28m,0.58%
22/06/21 19:38,22/06/21 22:11,GBPUSD,Buy,0.16,-,-,1.39366,1.39597,0,36.25,2h 33m,1.15%
21/06/21 10:54,21/06/21 12:10,GBPUSD,Buy,0.14,-,-,1.38327,1.38495,0,22.9,1h 15m,0.73%
21/06/21 6:37,21/06/21 9:11,GBPUSD,Sell,0.14,-,-,1.37915,1.38135,0,-31.42,2h 34m,-1.00%
18/06/21 23:39,21/06/21 0:05,GBPUSD,Sell,0.15,-,-,1.37945,1.38165,0,-34.05,2d ,-1.07%
18/06/21 15:25,18/06/21 16:37,GBPUSD,Sell,0.16,-,-,1.3855,1.38405,0,22.49,1h 11m,0.71%
18/06/21 15:24,18/06/21 15:29,EURUSD,Sell,0.35,-,-,1.18853,1.1872,0,45.22,5m,1.45%
18/06/21 8:34,18/06/21 9:29,GBPUSD,Sell,0.16,-,-,1.38958,1.3883,0,19.77,54m,0.64%
17/06/21 18:47,17/06/21 19:29,GBPUSD,Sell,0.17,-,-,1.39199,1.39027,0,28.48,41m,0.93%
17/06/21 10:33,17/06/21 11:02,GBPUSD,Sell,0.19,-,-,1.39707,1.39867,0,-31.25,29m,-1.01%
16/06/21 21:13,16/06/21 21:19,GBPUSD,Sell,0.19,-,-,1.40342,1.40205,0,25.18,6m,0.82%
16/06/21 15:14,16/06/21 15:57,GBPUSD,Buy,0.19,-,-,1.41286,1.41126,0,-31.26,43m,-1.00%
15/06/21 14:21,15/06/21 14:28,GBPUSD,Sell,0.19,-,-,1.40658,1.40477,0,33.53,7m,1.09%
14/06/21 15:30,15/06/21 4:44,GBPUSD,Buy,0.19,-,-,1.41162,1.41002,0,-32.21,13h 14m,-1.04%
11/06/21 17:31,11/06/21 22:54,USDJPY,Buy,0.66,-,-,109.797,109.667,0,-80.35,5h 23m,-2.52%
11/06/21 14:16,11/06/21 15:21,EURUSD,Sell,0.36,-,-,1.21433,1.21268,0,58,1h 4m,1.85%
09/06/21 17:52,10/06/21 9:14,USDJPY,Buy,0.67,-,-,109.637,109.507,0,-84.06,15h 21m,-2.61%
09/06/21 17:38,10/06/21 7:45,GBPUSD,Sell,0.2,-,-,1.4121,1.41086,0,22.34,14h 6m,0.70%
