Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain,
25/06/2021 15:15,25/06/2021 17:11,GBPAUD,Buy,0.01,-,-,1.82976,1.83129,0.0,1.09,1h 56m,+0.03%,
25/06/2021 00:04,25/06/2021 03:00,USDJPY,Buy,0.07,-,-,110.88900,110.94000,0.0,2.73,2h 56m,+0.07%,
25/06/2021 00:24,25/06/2021 01:39,GBPAUD,Buy,0.14,-,-,1.83539,1.83617,0.0,7.30,1h 14m,+0.20%,
22/06/2021 00:34,24/06/2021 18:30,AUDCAD,Buy,0.01,-,-,0.93224,0.93482,0.0,1.91,2d ,+0.05%,
18/06/2021 13:00,24/06/2021 18:30,AUDCAD,Buy,0.01,-,-,0.93321,0.93482,0.0,1.06,6d ,+0.03%,
24/06/2021 17:30,24/06/2021 17:37,GBPNZD,Buy,0.01,-,-,1.97059,1.97161,0.0,0.65,7m,+0.02%,
24/06/2021 04:00,24/06/2021 10:30,EURGBP,Buy,0.01,-,-,0.85452,0.85513,0.0,0.78,6h 29m,+0.02%,
24/06/2021 02:00,24/06/2021 08:30,EURJPY,Sell,0.01,-,-,132.39200,132.20400,0.0,1.62,6h 30m,+0.04%,
24/06/2021 01:01,24/06/2021 02:06,GBPCAD,Sell,0.15,-,-,1.71863,1.71831,0.0,2.85,1h 5m,+0.08%,
18/06/2021 15:30,24/06/2021 01:30,AUDCAD,Buy,0.01,-,-,0.92892,0.93258,0.0,2.74,5d ,+0.08%,
18/06/2021 02:30,23/06/2021 23:30,AUDCAD,Buy,0.01,-,-,0.93292,0.93220,0.0,-0.75,5d ,-0.02%,
23/06/2021 17:59,23/06/2021 19:24,EURCHF,Buy,0.06,-,-,1.09540,1.09627,0.0,5.27,1h 24m,+0.15%,
23/06/2021 08:30,23/06/2021 17:00,AUDCAD,Buy,0.01,-,-,0.92981,0.93151,0.0,1.32,8h 30m,+0.04%,
17/06/2021 23:00,23/06/2021 15:36,NZDUSD,Buy,0.01,-,-,0.69989,0.70485,0.0,4.81,5d ,+0.13%,
18/06/2021 14:30,23/06/2021 13:00,EURUSD,Buy,0.01,-,-,1.19100,1.19407,0.0,2.85,4d ,+0.08%,
18/06/2021 12:00,23/06/2021 13:00,EURUSD,Buy,0.01,-,-,1.19124,1.19405,0.0,2.59,5d ,+0.07%,
18/06/2021 11:30,23/06/2021 13:00,EURUSD,Buy,0.01,-,-,1.19235,1.19407,0.0,1.50,5d ,+0.04%,
17/06/2021 12:30,23/06/2021 11:30,NZDUSD,Buy,0.01,-,-,0.70534,0.70364,0.0,-1.85,5d ,-0.05%,
21/06/2021 22:15,23/06/2021 06:30,GBPAUD,Sell,0.01,-,-,1.84737,1.84591,0.0,0.95,1d ,+0.03%,
17/06/2021 15:00,22/06/2021 22:00,GBPNZD,Sell,0.01,-,-,1.99060,1.98421,0.0,4.33,5d ,+0.12%,
22/06/2021 19:30,22/06/2021 20:00,GBPNZD,Sell,0.01,-,-,1.98705,1.98622,0.0,0.51,30m,+0.01%,
18/06/2021 01:00,22/06/2021 19:38,EURUSD,Buy,0.01,-,-,1.19080,1.19383,0.0,2.86,4d ,+0.09%,
18/06/2021 15:30,22/06/2021 19:36,EURUSD,Buy,0.01,-,-,1.18737,1.19299,0.0,5.45,4d ,+0.15%,
17/06/2021 04:00,22/06/2021 18:30,NZDUSD,Buy,0.01,-,-,0.70779,0.69995,0.0,-7.97,5d ,-0.22%,
15/06/2021 13:30,22/06/2021 18:15,USDCAD,Sell,0.02,-,-,1.21820,1.23631,0.0,-29.85,7d ,-0.82%,
