Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain,
29/06/2021 22:00,30/06/2021 01:00,GBPCAD,Sell,0.06,-,-,1.71633,1.71634,0.0,-0.52,3h 0m,-0.04%,
28/06/2021 21:00,28/06/2021 23:14,CHFJPY,Buy,0.06,-,-,120.21100,120.26500,0.0,2.13,2h 14m,+0.18%,
25/06/2021 23:03,25/06/2021 23:56,AUDNZD,Sell,0.06,-,-,1.07479,1.07385,0.0,3.01,52m,+0.26%,
24/06/2021 22:59,24/06/2021 23:47,GBPUSD,Sell,0.06,-,-,1.39363,1.39250,0.0,5.35,48m,+0.46%,
24/06/2021 20:00,24/06/2021 23:40,EURNZD,Buy,0.06,-,-,1.68893,1.68970,0.0,2.40,3h 39m,+0.21%,
24/06/2021 11:52,-,-,Withdrawal,,-,-,,,-,-125.00,-,-,
23/06/2021 22:07,24/06/2021 01:06,USDCHF,Sell,0.06,-,-,0.91863,0.91780,0.0,3.53,2h 59m,+0.27%,
23/06/2021 22:50,23/06/2021 23:43,GBPUSD,Buy,0.06,-,-,1.39532,1.39633,0.0,4.75,53m,+0.37%,
23/06/2021 17:48,-,-,Deposit,,-,-,,,-,8.00,-,-,
22/06/2021 22:02,23/06/2021 02:12,EURCAD,Buy,0.06,-,-,1.47032,1.46989,0.0,-2.36,4h 10m,-0.18%,
22/06/2021 22:00,23/06/2021 01:46,GBPCAD,Buy,0.06,-,-,1.71761,1.71717,0.0,-2.35,3h 46m,-0.18%,
22/06/2021 22:10,23/06/2021 01:44,USDCHF,Buy,0.06,-,-,0.91736,0.91839,0.0,5.31,3h 34m,+0.42%,
22/06/2021 21:59,22/06/2021 23:58,EURNZD,Buy,0.06,-,-,1.69820,1.70020,0.0,6.73,1h 59m,+0.53%,
22/06/2021 22:03,22/06/2021 23:49,GBPUSD,Sell,0.06,-,-,1.39483,1.39488,0.0,-0.58,1h 46m,-0.05%,
21/06/2021 23:15,22/06/2021 00:18,AUDNZD,Sell,0.06,-,-,1.07895,1.07833,0.0,1.76,1h 3m,+0.14%,
21/06/2021 22:00,21/06/2021 22:40,EURCAD,Buy,0.06,-,-,1.47188,1.47303,0.0,4.35,40m,+0.34%,
18/06/2021 23:34,21/06/2021 02:00,USDCHF,Sell,0.06,-,-,0.92312,0.92225,0.0,4.21,2d ,+0.33%,
18/06/2021 22:50,21/06/2021 01:36,CHFJPY,Buy,0.06,-,-,119.44600,119.45700,0.0,-0.07,2d ,-0.01%,
18/06/2021 23:53,21/06/2021 01:08,EURCAD,Sell,0.06,-,-,1.47807,1.47814,0.0,-0.65,2d ,-0.05%,
17/06/2021 22:10,18/06/2021 00:17,AUDNZD,Buy,0.06,-,-,1.07791,1.07819,0.0,0.51,2h 7m,+0.04%,
16/06/2021 23:22,17/06/2021 04:57,USDCHF,Sell,0.06,-,-,0.90812,0.90782,0.0,0.64,5h 35m,+0.05%,
16/06/2021 23:10,17/06/2021 03:29,GBPUSD,Buy,0.06,-,-,1.39954,1.39831,0.0,-7.07,4h 19m,-0.56%,
16/06/2021 23:21,16/06/2021 23:37,AUDNZD,Sell,0.06,-,-,1.08030,1.07937,0.0,2.95,16m,+0.23%,
14/06/2021 22:01,15/06/2021 01:46,USDCHF,Sell,0.06,-,-,0.90011,0.89949,0.0,2.82,3h 45m,+0.22%,
10/06/2021 22:13,11/06/2021 02:55,USDJPY,Buy,0.06,-,-,109.39200,109.39700,0.0,-0.17,4h 42m,-0.01%,
11/06/2021 00:07,11/06/2021 00:46,AUDNZD,Sell,0.06,-,-,1.07827,1.07720,0.0,3.46,38m,+0.28%,
09/06/2021 23:54,10/06/2021 00:40,EURUSD,Sell,0.06,-,-,1.21791,1.21797,0.0,-0.69,46m,-0.05%,
08/06/2021 22:00,08/06/2021 22:57,GBPUSD,Sell,0.06,-,-,1.41634,1.41566,0.0,3.02,57m,+0.24%,
07/06/2021 22:40,08/06/2021 03:12,GBPCAD,Sell,0.06,-,-,1.71313,1.71322,0.0,-0.89,4h 32m,-0.07%,
07/06/2021 23:02,08/06/2021 00:05,EURUSD,Buy,0.06,-,-,1.21920,1.21904,0.0,-1.38,1h 3m,-0.11%,
07/06/2021 22:48,07/06/2021 23:07,EURCAD,Sell,0.06,-,-,1.47336,1.47222,0.0,4.32,19m,+0.34%,
03/06/2021 23:58,04/06/2021 00:15,EURUSD,Buy,0.06,-,-,1.21265,1.21270,0.0,-0.34,17m,-0.03%,
03/06/2021 20:16,03/06/2021 23:40,EURNZD,Sell,0.06,-,-,1.69983,1.69756,0.0,7.69,3h 23m,+0.62%,
03/06/2021 21:21,03/06/2021 23:40,AUDNZD,Sell,0.06,-,-,1.07316,1.07216,0.0,3.21,2h 18m,+0.26%,
02/06/2021 21:11,03/06/2021 01:48,USDJPY,Buy,0.06,-,-,109.53500,109.59800,0.0,2.27,4h 37m,+0.18%,
03/06/2021 00:28,03/06/2021 01:22,EURUSD,Sell,0.06,-,-,1.22113,1.22113,0.0,-0.33,53m,-0.03%,
02/06/2021 21:15,03/06/2021 00:35,AUDNZD,Sell,0.06,-,-,1.07169,1.07042,0.0,3.90,3h 20m,+0.32%,
01/06/2021 23:25,02/06/2021 03:33,USDCHF,Sell,0.06,-,-,0.89706,0.89674,0.0,1.15,4h 8m,+0.09%,
01/06/2021 21:47,02/06/2021 03:01,CHFJPY,Buy,0.06,-,-,122.01800,122.06600,0.0,1.57,5h 14m,+0.13%,
02/06/2021 00:01,02/06/2021 01:33,EURNZD,Buy,0.06,-,-,1.68322,1.68434,0.0,3.66,1h 32m,+0.30%,
01/06/2021 23:24,02/06/2021 00:46,EURUSD,Buy,0.06,-,-,1.22160,1.22141,0.0,-1.52,1h 21m,-0.12%,
01/06/2021 22:43,01/06/2021 23:48,EURCAD,Sell,0.06,-,-,1.47574,1.47465,0.0,4.10,1h 5m,+0.33%,
31/05/2021 22:25,31/05/2021 23:30,AUDNZD,Buy,0.06,-,-,1.06269,1.06287,0.0,0.31,1h 5m,+0.03%,
31/05/2021 22:00,31/05/2021 22:24,EURCAD,Buy,0.06,-,-,1.47328,1.47520,0.0,7.48,24m,+0.61%,
27/05/2021 23:23,28/05/2021 00:33,EURUSD,Buy,0.06,-,-,1.21957,1.21951,0.0,-0.89,1h 9m,-0.07%,
27/05/2021 00:04,27/05/2021 00:44,EURUSD,Buy,0.06,-,-,1.21930,1.21925,0.0,-0.58,39m,-0.05%,
26/05/2021 22:57,26/05/2021 23:44,AUDNZD,Buy,0.06,-,-,1.06165,1.06227,0.0,1.89,47m,+0.15%,
26/05/2021 23:13,26/05/2021 23:29,EURUSD,Sell,0.06,-,-,1.21971,1.21936,0.0,1.39,15m,+0.11%,
25/05/2021 21:01,26/05/2021 01:40,USDJPY,Buy,0.06,-,-,108.77200,108.80600,0.0,1.13,4h 39m,+0.09%,
25/05/2021 23:57,26/05/2021 00:37,EURUSD,Sell,0.06,-,-,1.22516,1.22504,0.0,0.24,39m,+0.02%,
25/05/2021 23:00,25/05/2021 23:52,EURUSD,Buy,0.06,-,-,1.22466,1.22489,0.0,0.80,52m,+0.07%,
24/05/2021 22:22,25/05/2021 01:18,GBPCAD,Buy,0.06,-,-,1.70524,1.70550,0.0,0.50,2h 56m,+0.04%,
24/05/2021 23:01,24/05/2021 23:29,EURUSD,Sell,0.06,-,-,1.22174,1.22151,0.0,0.80,27m,+0.07%,
21/05/2021 22:22,24/05/2021 05:40,EURCHF,Buy,0.06,-,-,1.09338,1.09380,0.0,1.85,2d ,+0.15%,
24/05/2021 00:39,24/05/2021 01:00,EURUSD,Buy,0.06,-,-,1.21797,1.21773,0.0,-1.51,20m,-0.12%,
21/05/2021 00:06,21/05/2021 00:09,EURUSD,Buy,0.06,-,-,1.22263,1.22265,0.0,-0.23,2m,-0.02%,
20/05/2021 22:21,20/05/2021 23:30,GBPUSD,Sell,0.06,-,-,1.41912,1.41859,0.0,2.27,1h 9m,+0.19%,
19/05/2021 23:58,20/05/2021 02:26,AUDNZD,Buy,0.06,-,-,1.07735,1.07778,0.0,0.81,2h 27m,+0.07%,
19/05/2021 22:02,20/05/2021 01:39,USDCHF,Sell,0.06,-,-,0.90462,0.90382,0.0,3.24,3h 37m,+0.27%,
19/05/2021 22:00,19/05/2021 23:12,GBPUSD,Buy,0.06,-,-,1.41053,1.41222,0.0,8.00,1h 12m,+0.67%,
18/05/2021 23:33,19/05/2021 01:10,EURNZD,Sell,0.06,-,-,1.68840,1.68764,0.0,2.32,1h 37m,+0.19%,
18/05/2021 23:38,19/05/2021 00:16,EURUSD,Buy,0.06,-,-,1.22236,1.22230,0.0,-0.88,38m,-0.07%,
18/05/2021 21:09,19/05/2021 00:03,AUDNZD,Sell,0.06,-,-,1.07604,1.07555,0.0,1.32,2h 54m,+0.11%,
18/05/2021 23:00,18/05/2021 23:30,EURUSD,Buy,0.06,-,-,1.22251,1.22270,0.0,0.60,29m,+0.05%,
17/05/2021 21:59,18/05/2021 05:02,EURCHF,Sell,0.06,-,-,1.09703,1.09755,0.0,-3.36,7h 3m,-0.28%,
17/05/2021 22:04,18/05/2021 04:15,USDCHF,Sell,0.06,-,-,0.90267,0.90278,0.0,-1.20,6h 11m,-0.10%,
17/05/2021 23:22,18/05/2021 00:31,EURUSD,Buy,0.06,-,-,1.21557,1.21520,0.0,-2.42,1h 9m,-0.20%,
13/05/2021 20:13,14/05/2021 02:57,EURCHF,Buy,0.06,-,-,1.09420,1.09414,0.0,-0.77,6h 44m,-0.06%,
13/05/2021 22:27,14/05/2021 02:14,GBPUSD,Sell,0.06,-,-,1.40500,1.40471,0.0,0.97,3h 47m,+0.08%,
13/05/2021 21:50,13/05/2021 22:56,AUDNZD,Buy,0.06,-,-,1.07518,1.07576,0.0,1.74,1h 6m,+0.14%,
12/05/2021 22:23,13/05/2021 02:17,EURCAD,Sell,0.06,-,-,1.46375,1.46391,0.0,-1.18,3h 54m,-0.10%,
12/05/2021 22:05,13/05/2021 00:25,EURNZD,Sell,0.06,-,-,1.68738,1.68625,0.0,3.54,2h 19m,+0.30%,
11/05/2021 23:15,12/05/2021 03:06,GBPUSD,Buy,0.06,-,-,1.41394,1.41388,0.0,-0.79,3h 51m,-0.07%,
11/05/2021 23:58,12/05/2021 01:24,EURNZD,Buy,0.06,-,-,1.67070,1.67136,0.0,1.67,1h 26m,+0.14%,
11/05/2021 23:01,12/05/2021 00:30,EURUSD,Buy,0.06,-,-,1.21477,1.21469,0.0,-0.99,1h 28m,-0.08%,
11/05/2021 21:26,11/05/2021 22:48,AUDNZD,Sell,0.06,-,-,1.07914,1.07870,0.0,1.25,1h 22m,+0.10%,
11/05/2021 20:02,11/05/2021 21:33,EURCHF,Sell,0.06,-,-,1.09873,1.09799,0.0,3.71,1h 31m,+0.31%,
10/05/2021 22:58,11/05/2021 02:10,USDCHF,Sell,0.06,-,-,0.90084,0.90056,0.0,0.94,3h 12m,+0.08%,
10/05/2021 23:40,11/05/2021 01:54,GBPUSD,Buy,0.06,-,-,1.41230,1.41280,0.0,1.96,2h 14m,+0.16%,
10/05/2021 23:00,11/05/2021 01:00,EURUSD,Buy,0.06,-,-,1.21408,1.21314,0.0,-5.24,1h 59m,-0.44%,
07/05/2021 23:41,10/05/2021 07:14,EURCAD,Buy,0.06,-,-,1.47539,1.47375,0.0,-7.32,2d ,-0.61%,
10/05/2021 00:06,10/05/2021 00:55,EURUSD,Sell,0.06,-,-,1.21705,1.21659,0.0,1.94,48m,+0.16%,
06/05/2021 22:54,07/05/2021 03:10,GBPCAD,Buy,0.06,-,-,1.69107,1.68964,0.0,-6.41,4h 16m,-0.53%,
06/05/2021 22:57,07/05/2021 03:00,EURCAD,Buy,0.06,-,-,1.46699,1.46672,0.0,-1.74,4h 3m,-0.14%,
06/05/2021 23:58,07/05/2021 01:00,EURUSD,Sell,0.06,-,-,1.20641,1.20633,0.0,0.05,1h 2m,+0.00%,
06/05/2021 21:25,07/05/2021 00:43,USDJPY,Buy,0.06,-,-,109.04300,109.09200,0.0,1.83,3h 18m,+0.15%,
05/05/2021 23:00,06/05/2021 01:30,EURUSD,Sell,0.06,-,-,1.20025,1.20078,0.0,-3.04,2h 30m,-0.25%,
05/05/2021 22:09,05/05/2021 23:09,GBPCAD,Sell,0.06,-,-,1.70815,1.70649,0.0,6.43,1h 0m,+0.53%,
05/05/2021 22:09,05/05/2021 23:09,EURCAD,Sell,0.06,-,-,1.47397,1.47285,0.0,4.23,1h 0m,+0.35%,
04/05/2021 22:00,05/05/2021 06:19,EURCAD,Buy,0.06,-,-,1.47814,1.47723,0.0,-4.34,8h 19m,-0.36%,
04/05/2021 23:13,04/05/2021 23:55,EURUSD,Sell,0.06,-,-,1.20201,1.20149,0.0,2.27,41m,+0.19%,
03/05/2021 20:01,03/05/2021 23:20,EURNZD,Buy,0.06,-,-,1.67444,1.67480,0.0,0.96,3h 18m,+0.08%,
03/05/2021 00:01,03/05/2021 01:00,EURUSD,Sell,0.06,-,-,1.20323,1.20260,0.0,2.81,58m,+0.23%,
30/04/2021 23:34,03/05/2021 00:57,AUDNZD,Sell,0.06,-,-,1.07692,1.07643,0.0,1.35,2d ,+0.11%,
30/04/2021 22:45,03/05/2021 00:01,USDCHF,Sell,0.06,-,-,0.91396,0.91287,0.0,5.36,2d ,+0.45%,
29/04/2021 22:46,30/04/2021 02:09,GBPCAD,Buy,0.06,-,-,1.71244,1.71265,0.0,0.30,3h 23m,+0.03%,
29/04/2021 23:58,30/04/2021 00:53,AUDNZD,Buy,0.06,-,-,1.07214,1.07248,0.0,0.72,55m,+0.06%,
29/04/2021 23:37,30/04/2021 00:16,EURUSD,Buy,0.06,-,-,1.21210,1.21237,0.0,0.75,38m,+0.06%,
28/04/2021 22:00,28/04/2021 22:05,AUDNZD,Sell,0.06,-,-,1.07356,1.07304,0.0,1.54,5m,+0.13%,
28/04/2021 21:38,28/04/2021 22:03,CHFJPY,Sell,0.06,-,-,119.47400,119.35700,0.0,5.00,25m,+0.42%,
28/04/2021 21:38,28/04/2021 21:59,EURCHF,Buy,0.06,-,-,1.10240,1.10323,0.0,4.18,21m,+0.35%,
28/04/2021 20:40,28/04/2021 21:31,EURNZD,Buy,0.06,-,-,1.66794,1.66933,0.0,4.67,50m,+0.40%,
27/04/2021 21:40,28/04/2021 03:51,EURNZD,Sell,0.06,-,-,1.67747,1.67980,0.0,-8.71,6h 10m,-0.74%,
28/04/2021 00:35,28/04/2021 00:36,EURUSD,Sell,0.06,-,-,1.20917,1.20891,0.0,0.96,1m,+0.08%,
