Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain,
25/06/2021 05:00,25/06/2021 07:09,GBPUSD,Sell,0.68,-,-,1.39324,1.39268,0.0,35.05,2h 9m,+0.26%,
24/06/2021 23:00,25/06/2021 00:30,GBPUSD,Sell,0.66,-,-,1.39354,1.39235,0.0,73.88,1h 30m,+0.55%,
24/06/2021 21:15,24/06/2021 23:43,GBPUSD,Sell,0.68,-,-,1.39310,1.39251,0.0,37.09,2h 28m,+0.28%,
24/06/2021 17:49,24/06/2021 19:32,AUDUSD,Buy,0.61,-,-,0.75705,0.75811,0.0,63.18,1h 43m,+0.47%,
24/06/2021 12:35,24/06/2021 14:09,GBPUSD,Sell,0.66,-,-,1.39532,1.39213,0.0,207.59,1h 34m,+1.58%,
24/06/2021 01:05,24/06/2021 04:30,EURUSD,Sell,0.24,-,-,1.19310,1.19259,0.0,11.32,3h 25m,+0.09%,
23/06/2021 22:00,24/06/2021 02:45,EURJPY,Buy,0.66,-,-,132.37800,132.42700,0.0,18.03,4h 45m,+0.14%,
23/06/2021 22:15,23/06/2021 23:46,GBPUSD,Buy,0.65,-,-,1.39600,1.39654,0.0,32.20,1h 31m,+0.25%,
23/06/2021 13:12,-,-,Deposit,,-,-,,,-,21.81,-,-,
22/06/2021 19:18,23/06/2021 11:32,AUDUSD,Sell,0.61,-,-,0.75311,0.75691,0.0,-234.73,16h 14m,-1.77%,
23/06/2021 03:30,23/06/2021 10:05,GBPUSD,Buy,0.65,-,-,1.39435,1.39599,0.0,103.70,6h 35m,+0.79%,
23/06/2021 04:30,23/06/2021 09:00,GBPUSD,Buy,0.64,-,-,1.39339,1.39396,0.0,33.63,4h 30m,+0.26%,
23/06/2021 06:30,23/06/2021 08:45,EURJPY,Buy,0.63,-,-,132.04400,132.10000,0.0,29.43,2h 15m,+0.22%,
22/06/2021 23:43,23/06/2021 00:00,EURCHF,Sell,0.65,-,-,1.09676,1.09640,0.0,19.18,17m,+0.15%,
22/06/2021 22:05,22/06/2021 23:16,GBPUSD,Sell,0.24,-,-,1.39553,1.39479,0.0,16.69,1h 10m,+0.13%,
22/06/2021 02:15,22/06/2021 17:30,GBPUSD,Buy,0.65,-,-,1.39275,1.39092,0.0,-121.85,15h 15m,-0.92%,
22/06/2021 14:50,22/06/2021 15:27,AUDUSD,Sell,0.61,-,-,0.75212,0.75095,0.0,69.90,37m,+0.53%,
22/06/2021 08:15,22/06/2021 14:15,GBPUSD,Buy,0.64,-,-,1.39063,1.38922,0.0,-93.09,5h 59m,-0.70%,
21/06/2021 14:03,22/06/2021 10:53,AUDUSD,Sell,0.61,-,-,0.75169,0.75061,0.0,62.95,20h 50m,+0.48%,
21/06/2021 14:40,21/06/2021 14:57,EURUSD,Buy,0.24,-,-,1.18890,1.18940,0.0,11.09,17m,+0.08%,
21/06/2021 12:10,21/06/2021 14:48,GBPUSD,Buy,0.66,-,-,1.38510,1.38721,0.0,136.33,2h 38m,+1.05%,
21/06/2021 11:00,21/06/2021 13:48,GBPUSD,Sell,0.68,-,-,1.38327,1.38877,0.0,-377.01,2h 48m,-2.81%,
21/06/2021 09:30,21/06/2021 10:13,EURJPY,Sell,0.67,-,-,130.59000,130.37100,0.0,130.96,43m,+0.99%,
21/06/2021 04:00,21/06/2021 08:19,XAUUSD,Sell,0.61,-,-,1773.08000,1771.02000,0.0,122.20,4h 18m,+0.93%,
21/06/2021 01:46,21/06/2021 06:41,AUDUSD,Sell,0.61,-,-,0.74973,0.74875,0.0,58.32,4h 55m,+0.45%,
21/06/2021 03:45,21/06/2021 06:15,GBPUSD,Sell,0.63,-,-,1.38236,1.38085,0.0,92.34,2h 30m,+0.71%,
21/06/2021 03:45,21/06/2021 05:00,USDCHF,Buy,0.63,-,-,0.92190,0.92259,0.0,45.10,1h 15m,+0.35%,
21/06/2021 02:15,21/06/2021 05:00,GBPUSD,Sell,0.65,-,-,1.38183,1.38127,0.0,33.53,2h 45m,+0.26%,
18/06/2021 23:39,21/06/2021 00:05,EURCHF,Sell,0.64,-,-,1.09509,1.09439,0.0,42.37,2d ,+0.33%,
18/06/2021 08:00,18/06/2021 23:52,EURAUD,Sell,0.67,-,-,1.58092,1.58592,0.0,-253.13,15h 51m,-1.93%,
18/06/2021 20:55,18/06/2021 22:55,AUDUSD,Sell,0.61,-,-,0.75056,0.74942,0.0,68.07,2h 0m,+0.52%,
18/06/2021 21:15,18/06/2021 22:02,GBPUSD,Sell,0.64,-,-,1.38259,1.38189,0.0,41.97,47m,+0.32%,
18/06/2021 10:45,18/06/2021 14:48,EURUSD,Sell,0.65,-,-,1.19077,1.19063,0.0,6.62,4h 3m,+0.05%,
18/06/2021 12:30,18/06/2021 13:05,EURJPY,Sell,0.63,-,-,131.36400,131.21100,0.0,85.11,35m,+0.66%,
18/06/2021 03:31,18/06/2021 10:54,XAUUSD,Sell,0.66,-,-,1779.15000,1792.93000,0.0,-913.24,7h 23m,-6.59%,
18/06/2021 05:00,18/06/2021 07:45,USDCHF,Buy,0.57,-,-,0.91750,0.91742,0.0,-6.79,2h 44m,-0.05%,
18/06/2021 02:45,18/06/2021 06:45,GBPUSD,Sell,0.67,-,-,1.39367,1.39294,0.0,45.92,3h 59m,+0.33%,
18/06/2021 01:35,18/06/2021 06:45,GBPUSD,Sell,0.69,-,-,1.39335,1.39294,0.0,25.21,5h 10m,+0.18%,
18/06/2021 02:30,18/06/2021 04:52,EURJPY,Sell,0.68,-,-,131.36400,131.25700,0.0,63.44,2h 22m,+0.46%,
17/06/2021 22:38,17/06/2021 23:38,EURCHF,Buy,0.68,-,-,1.09237,1.09315,0.0,55.19,1h 0m,+0.40%,
17/06/2021 21:30,17/06/2021 23:00,USDCHF,Buy,0.57,-,-,0.91701,0.91787,0.0,51.59,1h 30m,+0.38%,
17/06/2021 21:45,17/06/2021 22:01,GBPUSD,Sell,0.68,-,-,1.39323,1.39263,0.0,37.77,16m,+0.28%,
17/06/2021 16:31,17/06/2021 16:53,AUDUSD,Sell,0.61,-,-,0.75837,0.75726,0.0,66.23,22m,+0.49%,
17/06/2021 15:10,17/06/2021 15:15,EURUSD,Sell,0.24,-,-,1.19426,1.19365,0.0,13.72,5m,+0.10%,
17/06/2021 05:30,17/06/2021 10:15,GBPUSD,Sell,0.63,-,-,1.39984,1.39777,0.0,127.59,4h 45m,+0.95%,
17/06/2021 05:15,17/06/2021 09:11,GBPUSD,Sell,0.62,-,-,1.39957,1.39873,0.0,49.30,3h 56m,+0.37%,
17/06/2021 05:02,17/06/2021 08:19,XAUUSD,Sell,0.65,-,-,1821.83000,1819.79000,0.0,128.81,3h 17m,+0.98%,
17/06/2021 04:15,17/06/2021 07:00,USDCHF,Buy,0.57,-,-,0.90798,0.90868,0.0,42.09,2h 45m,+0.32%,
16/06/2021 23:00,17/06/2021 05:15,GBPUSD,Buy,0.65,-,-,1.39970,1.39957,0.0,-21.11,6h 15m,-0.16%,
16/06/2021 23:00,17/06/2021 04:30,EURUSD,Buy,0.65,-,-,1.20048,1.19979,0.0,-60.61,5h 30m,-0.46%,
16/06/2021 22:23,17/06/2021 03:03,EURCHF,Sell,0.66,-,-,1.08975,1.08955,0.0,0.22,4h 40m,+0.00%,
16/06/2021 22:42,16/06/2021 23:00,GBPCAD,Buy,0.65,-,-,1.71472,1.71627,0.0,79.26,18m,+0.60%,
16/06/2021 21:54,16/06/2021 22:18,EURUSD,Sell,0.66,-,-,1.20264,1.20240,0.0,13.30,24m,+0.10%,
16/06/2021 21:05,16/06/2021 21:54,EURUSD,Sell,0.65,-,-,1.20531,1.20265,0.0,170.39,48m,+1.31%,
16/06/2021 19:45,16/06/2021 21:01,GBPUSD,Buy,0.67,-,-,1.41017,1.40454,0.0,-380.23,1h 16m,-2.85%,
